"","t501","t502","t503","MGT","CUG","Pmax","code","t50f1","t50f2","MGTf","CUGf","Pmaxf","t50n1","t50n2","MGTn","Pmaxn"
"121",25,22,NA,29.4444444444444,0.00285694130925508,0.36,1,26.3312359575073,NA,26.8301197945177,0.0354780473888552,0.409436973181497,38.1727226098097,283.99670703407,39.319982657749,0.543782579010691
"122",23,22,59,27.7692307692308,0.00346084534731324,0.52,1,22.6190452114264,73.5177712442279,22.8827707437389,0.080273706234524,0.551034609441549,24.8428606444798,59.6529312807911,25.206047877885,0.609782641091534
"123",37,34,NA,38.1428571428571,0.00668668122270742,0.28,1,34.8197839900013,NA,34.8864030542634,0.214027765797889,0.282127176850384,35.8587862713964,NA,35.9847477342067,0.327568293005836
"124",25,23,35,33.7058823529412,0.00190251737939751,0.68,1,25.9214967697406,37.4830032819988,26.1281621649976,0.0906180747035279,0.711074540285144,23.2997670729621,34.871106327603,23.4290087499968,0.6616138247062
"125",23,22,47,31.6666666666667,0.00219383775351014,0.6,1,24.1304299933955,41.2366189423213,24.2659069709874,0.149799346711164,0.61247178233053,22.5885136305343,39.9430508372594,22.7064584978704,0.596466147035528
"126",25,23,43,30.8666666666667,0.00366592805005214,0.6,1,25.0807282079037,42.5964695787299,25.2202476968336,0.139974342063492,0.613649854906544,27.3251480165936,44.1501664774268,27.5922266079159,0.68140431826354
"127",19,17.5,NA,25.3636363636364,0.00422014508928571,0.44,1,20.24945448437,NA,20.4755092225395,0.104802759289611,0.459838973953189,17.7556318456228,NA,17.9310676430627,0.463754976379944
"128",14.3333333333333,13.6666666666667,NA,25,0.00148026315789474,0.36,1,14.5055154327112,NA,14.5895783153421,0.401339467864829,0.361971025695775,13.2351592172339,NA,13.2548831064263,0.34436140235041
"129",27,25,NA,27.4,0.00394570707070707,0.4,1,24.0290386002021,NA,24.4219049370701,0.0498479061283977,0.440699639778147,80.7201100786155,80.7201100786155,83.8648076088204,1
"130",15,13,NA,17,0.0107758620689655,0.4,1,12.6762141419623,NA,12.7556843333735,0.4849448735566,0.401874914332726,13.7916807482795,NA,13.8923310355509,0.437130618523618
"131",19,17,NA,29,0.00209731543624161,0.4,1,21.0299809845811,NA,21.2261232373299,0.117098354049359,0.414655025045326,112.660699757755,112.660699757755,121.179336229196,1
"132",21,20,NA,23.6666666666667,0.00703125,0.36,1,19.5802646289285,NA,19.7127907987497,0.187915375606494,0.366214084292373,19.4896876019993,NA,19.5541770909604,0.363837948351159
"133",23,21,71,34.4285714285714,0.00144576891301782,0.56,1,30.5071684033526,65.576645584511,31.1188309556769,0.0248732091267058,0.661016034861864,21.8562864847562,66.1542274976504,22.088785056605,0.55301583673922
"134",19,17,NA,24.6,0.00425459496255956,0.4,1,19.0236022992783,NA,19.194467700336,0.14878871831334,0.411038711841079,20.6212825068049,NA,20.8818731489798,0.457505855579518
"135",31,30,55,29.9230769230769,0.00482746800731261,0.52,1,28.3792827738428,79.7369359906719,28.7264620443397,0.0484973980631483,0.570924753855894,35.2132596636273,50.2276834126998,35.4902775072529,0.716727326444171
"136",19,18,NA,34.8181818181818,0.00143012481089259,0.44,1,26.1735925988286,NA,26.5225051970073,0.0521102576297581,0.480998803961966,18.5881049554597,NA,18.8341544935137,0.429678943894083
"137",15,13,27,23.2222222222222,0.00305337756332931,0.72,1,16.2227216574497,24.4106064978075,16.5141208215172,0.0989485811698,0.763977914618334,19.6498143932913,25.5949587332128,20.1724865749947,0.855684018705509
"138",20,19,NA,32,0.00159489633173844,0.32,1,27.2828975852486,NA,27.8589880902314,0.0294130373953777,0.371291248878647,21.6571546862171,NA,21.9648716662842,0.341938173759984
