"","t501","t502","MGT","Pmax","t50f1","t50f2","MGTf","Pmaxf"
"116",4.625,4.5,5.04545454545455,0.88,4.2362360649619,4.53993249343709,4.27809476216118,0.888974192330356
"117",3.94444444444444,3.88888888888889,5.09090909090909,0.88,4.12012470352421,4.36464438141348,4.14467817663405,0.882123412347833
"118",4.1,4,4.875,0.96,4.00648446196097,4.08027890975041,4.04589018541627,0.967905345976018
"119",4.3,4.2,4.875,0.96,4.14409598380852,4.21622796647812,4.17150431987884,0.96321989636193
"120",4,3.92857142857143,5.08695652173913,0.92,4.18391646954416,4.36681501105109,4.22875300609149,0.930766648991524
"121",4.25,4.16666666666667,5,0.8,4.07829213617482,4.67168819387145,4.11973352938569,0.807587178639999
"122",4.0625,4,4.77272727272727,0.88,NA,NA,NA,NA
"123",4.3,4.2,5.66666666666667,0.72,NA,NA,NA,NA
"124",4.33333333333333,4.25,5.43478260869565,0.92,4.37450726009051,4.54360513525366,4.40496984688756,0.924507582477568
"125",4.75,4.66666666666667,5.36363636363636,0.88,4.62367664197848,4.87677756449163,4.64731319658179,0.882352033528833
"126",4.25,4.125,5.26086956521739,0.92,4.22062522229748,4.40083435549842,4.26098157271482,0.928581931020588
"127",5,4.875,4.90476190476191,0.84,4.3309938028607,4.76713311961462,4.37016212767414,0.847580177037667
"128",4.83333333333333,4.66666666666667,5.59090909090909,0.88,4.74811298577894,5.06964397199629,4.79343402205088,0.892627938793549
"129",4.9,4.8,6.15,0.8,5.11056297848115,5.78889610038067,5.15862385870361,0.81462310487179
"130",4.33333333333333,4.25,5.44,1,4.32225112593124,4.32225112593124,4.3693189666515,1
"131",5,4.75,4.82608695652174,0.92,4.1709620944398,4.32735195716558,4.19691004941105,0.92266672241721
"132",4,3.92857142857143,5.24,1,4.11424434672378,4.11424434672378,4.1635538653236,1
"133",4.71428571428571,4.64285714285714,5.39130434782609,0.92,4.58287741570005,4.73609785111098,4.60521573719459,0.9220370732424
"134",5.08333333333333,5,5.25,0.8,4.50755067058005,5.16585997410654,4.55704357284707,0.812764261580501
"135",4.3,4.2,4.95833333333333,0.96,4.005599716486,4.07668363336908,4.05153461239864,0.971235920615546
"136",5.16666666666667,5.08333333333333,5.69565217391304,0.92,4.79267055623662,4.96991028190526,4.82461333611313,0.925997468179451
"137",4.57142857142857,4.5,5.05263157894737,0.76,4.42556210939639,5.04508134118568,4.44907842135845,0.761832790823435
"138",5.16666666666667,5,5.90909090909091,0.88,4.95267217959292,5.28829312742086,5.01183645939964,0.902698442204016
"139",5.125,5,5.91666666666667,0.96,5.00250252662414,5.07875120631944,5.03741461080969,0.968434476520769
"140",4.5,4.42857142857143,5.375,0.96,4.36171902857407,4.4311869822037,4.40919565309858,0.973423485507243
